net,length_um
net195,1278.52
u_stage4.Result_comb\[37\],1262.03
u_stage4.Result_comb\[19\],1199.84
u_stage4.Result_comb\[22\],1179.04
u_stage4.Result_comb\[18\],1169.44
u_stage4.Result_comb\[38\],1160.23
u_stage4.Result_comb\[27\],1148.19
net194,1059.32
net163,1024.25
net175,1020.99
net181,1012.6
u_stage4.Result_comb\[7\],977.69
u_stage4.Result_comb\[1\],958.795
u_stage4.Result_comb\[61\],958.63
net196,954.06
u_stage4.Result_comb\[0\],948.03
u_stage4.Result_comb\[10\],947.345
net91,940.8
net148,934.825
_17328_,925.915
net179,924.56
net176,922.65
net145,919.25
net110,905.755
net70,876.98
net190,876.895
net52,864.11
net79,848.56
net69,848.45
net8,837.45
net114,836.535
net139,835.9
net112,831.36
net7,827.4
net153,825.28
u_stage4.Result_comb\[24\],824.54
net132,816.415
u_stage4.Result_comb\[56\],814.39
clknet_0_clk,811.68
net126,808.95
net479,806.41
net142,805.02
net172,802.76
net191,802.29
net262,796.12
net26,795.25
net184,792.07
net39,774.74
net159,761.76
net266,758.8
net173,757.02
u_stage4.Result_comb\[5\],754.55
net58,753.55
net155,752.715
net160,748.18
net137,743.435
clknet_4_4__leaf_clk,741.96
_17441_,741.4
net31,739.89
clknet_4_5__leaf_clk,738.48
net150,730.4
net43,729.04
_17231_,721.79
net171,720.24
_13909_,719.92
net146,712.615
_08724_,708.355
net121,701.955
_13831_,699.06
net28,696.36
net178,695.55
net384,694.29
net59,693.01
_17258_,692.87
net3,687.71
u_stage4.Result_comb\[32\],685.755
net36,683.8
u_stage4.Result_comb\[28\],680.01
u_stage4.Result_comb\[52\],666.53
net33,665.93
net77,665.23
u_stage4.Result_comb\[57\],664.5
net141,664.08
net83,661.05
_20323_,660.05
net478,656.21
clk,654.11
_13501_,652.8
net133,645.56
net189,644.54
clknet_4_0__leaf_clk,640.59
net125,638.735
net37,637.77
net72,636.53
net25,635.96
u_stage4.Result_comb\[60\],635.845
net328,635.38
u_stage4.Result_comb\[59\],634.56
_17252_,633.57
net193,633.185
_13920_,632.71
_17334_,628.885
_09015_,624.64
u_stage4.Result_comb\[16\],624.335
_17404_,622.48
_13842_,620.725
net11,620.58
net78,616.66
u_stage4.Result_comb\[21\],616.32
net177,614.06
_20672_,613.7
net102,613.33
net115,606.17
u_stage4.Result_comb\[36\],604.38
net154,600.82
net111,597.2
net134,594.74
_13931_,591.42
net46,588.92
net6,588.43
net84,588.22
net168,585.3
_17278_,583.9
_13865_,582.85
net32,581.07
net103,578.8
net71,578.68
net42,578.51
net47,577.86
_18176_,574.385
_11326_,573.17
clknet_4_7__leaf_clk,572.26
net75,571.28
net166,569.36
u_stage4.Result_comb\[50\],567.34
_20671_,566.1
net118,564.71
u_stage4.Valid_comb\[2\],563.935
net128,561.52
net157,560.58
net82,558.6
net105,556.77
_17326_,555.4
net147,554.735
net192,554.54
net67,552.09
u_stage1.A_reg\[12\],551.67
net95,551.1
u_stage4.Result_comb\[23\],549.385
net224,544.56
net162,543.64
net90,540.8
_09484_,540.29
u_stage4.Result_comb\[42\],539.76
net55,537.225
net27,536.36
clknet_4_14__leaf_clk,534.82
net14,533.98
net236,529.04
net439,526.28
clknet_4_8__leaf_clk,525.24
net86,524.86
net51,524.2
net244,523.4
_13964_,522.21
_20337_,521.66
net41,519.26
net158,519.2
net48,516.54
clknet_4_12__leaf_clk,514.82
_17406_,513.215
net104,512.855
net61,507.32
net140,504.2
_06318_,502.31
clknet_4_2__leaf_clk,501.49
_09005_,500.99
_17452_,500.9
_02005_,496.66
_13942_,496.65
net440,494.15
net119,493.26
_06506_,492.82
net188,488.125
net124,487.74
clknet_4_3__leaf_clk,485.79
net161,483.7
_21288_,483.56
u_stage1.A_reg\[27\],483.14
net92,480.08
_00804_,479.815
clknet_4_15__leaf_clk,479.68
clknet_4_6__leaf_clk,477.03
