net,length_um
net401,1039.6
u_multiplier.partial_sum\[98\],978.96
u_multiplier.partial_sum\[97\],905.84
clknet_0_clk,898.23
u_multiplier.partial_sum\[106\],895.69
u_multiplier.partial_sum\[102\],888.555
_07128_,876.34
u_multiplier.partial_carry\[45\],871.9
net679,870.14
u_multiplier.partial_sum\[48\],859.4
net472,848.96
u_multiplier.partial_carry\[43\],833.53
u_multiplier.partial_sum\[56\],828.66
net391,801.98
u_multiplier.partial_sum\[110\],798.3
_02523_,797.9
u_multiplier.partial_sum\[95\],796.79
net184,784.8
u_multiplier.partial_carry\[78\],771.175
u_exp_compare.ProdASC\[53\],767.32
u_multiplier.partial_carry\[59\],764.59
u_exp_compare.ProdASC\[32\],754.9
u_multiplier.partial_carry\[62\],751.6
net159,749.89
_02259_,746.35
u_exp_compare.ProdASC\[7\],745.22
_01057_,743.86
net158,743.22
net131,740.715
net375,738.34
u_align.Aligned_C\[63\],737.86
_02260_,735.5
net153,733
u_component_formatter.A_in\[26\],728.72
net147,726.98
_04124_,721.7
net775,713.26
net13,713.18
u_exp_compare.ProdASC\[51\],709.86
u_exp_compare.ProdASC\[52\],700.765
_04312_,698.77
net167,695.56
net419,693.91
u_align.Aligned_C\[162\],684.275
_09583_,679.65
net279,679.5
u_component_formatter.A_in\[25\],678.455
u_align.ExpDiff\[29\],674.37
net2,670.89
u_component_formatter.A_in\[27\],670.88
net707,670.1
net570,663.37
net145,661.71
_04457_,661.46
u_align.Aligned_C\[86\],661.04
_02255_,657.85
u_multiplier.partial_sum\[23\],657.705
u_exp_compare.ProdASC\[24\],656.24
_10588_,654.56
u_multiplier.partial_sum\[85\],653.44
u_exp_compare.ProdASC\[40\],650.6
net635,648.27
net130,643.82
u_component_formatter.C_sign\[1\],643.81
u_align.Aligned_C\[42\],640.83
u_align.Aligned_C\[69\],639.26
_03709_,639.06
u_align.ExpDiff\[26\],638.49
u_multiplier.partial_carry\[76\],638.34
net703,634.76
net859,634.39
net420,634.14
net181,633.16
u_multiplier.partial_carry\[46\],631.74
net683,629.33
_02522_,623.84
net141,622.02
net133,618.54
_06478_,616.255
u_sign_logic.Sign_AB\[1\],615.75
net35,613.92
net150,611.48
u_align.Aligned_C\[65\],611.115
u_multiplier.partial_sum\[103\],610.34
u_multiplier.partial_carry\[90\],609.875
net705,609.6
net455,608.25
u_multiplier.partial_sum\[25\],606.39
net716,605.32
u_exp_compare.ProdASC\[43\],602.49
net724,600.82
u_align.Aligned_C\[143\],599.54
net715,599.52
net712,598.52
u_align.Aligned_C\[68\],596.71
u_align.Aligned_C\[80\],595.41
clk,594.405
net726,594.045
_03190_,592.92
_05117_,592.45
u_exp_compare.ProdASC\[23\],592.14
u_multiplier.partial_sum\[87\],591.78
u_exp_compare.ProdASC\[50\],590.3
net144,589.535
u_component_formatter.A_in\[13\],588.62
net398,588.39
net713,587.89
_01060_,587.44
net722,587.155
net810,586.83
net718,586.185
u_multiplier.partial_sum\[96\],585.625
u_multiplier.partial_sum\[89\],585.6
net191,585.54
net708,584.055
net710,582.3
u_align.Aligned_C\[95\],581.44
_07732_,581.18
net62,580.33
_09052_,579.9
net170,579.4
net289,579.4
u_exp_compare.ProdASC\[48\],579.385
u_align.Aligned_C\[158\],578.6
u_align.Aligned_C\[105\],575.83
u_align.Aligned_C\[61\],575.675
u_multiplier.partial_sum\[7\],575.62
u_align.Aligned_C\[16\],575.325
u_multiplier.partial_sum\[68\],573.78
_07446_,573.19
net29,572.56
u_component_formatter.A_in\[12\],570.43
net102,569.075
net706,569.055
net7,568.835
net129,567.2
_06225_,567.105
net719,566.61
net721,566.42
net39,564.995
u_multiplier.partial_carry\[58\],564.99
net711,563.29
net702,562.87
u_exp_compare.ProdASC\[39\],562.26
_06375_,561.81
net80,560.87
u_multiplier.partial_sum\[11\],560.76
net704,560.12
_06272_,559.7
u_align.Aligned_C\[141\],559.24
_01931_,558.42
net714,558.22
u_multiplier.partial_carry\[52\],557.55
u_multiplier.partial_sum\[71\],557.1
u_align.Aligned_C\[36\],553.91
net723,553.51
u_align.Aligned_C\[122\],553.26
u_align.Aligned_C\[27\],553.06
net396,552.86
clknet_4_9__leaf_clk,551.76
_06595_,550.4
net717,550.3
net720,549.83
u_multiplier.partial_sum\[38\],549.68
net67,549
net175,548.18
u_multiplier.partial_sum\[41\],547.715
